Id,Response Date,clean_paraphrases,emotion,is_frustrated
95628539,2022-05-11 04:18:07,i will score it because of his filters and data management.,neutral,no
95628539,2022-05-11 04:18:07,i will score it because of his filters and data management.,neutral,no
95750261,2022-05-13 01:32:05,you can do better on lead score.,optimism,no
95754826,2022-05-13 04:01:10,the leads are automatically transferred.,neutral,no
95073528,2022-05-01 05:06:22,the father is interested.,desire,no
95110192,2022-05-02 04:06:01,there needs to be a follow-up option.,neutral,no
95110192,2022-05-02 04:06:01,the follow-up list should be displayed in front of the leadsquared if the client has given an appointment after a while.,neutral,no
95110192,2022-05-02 04:06:01,the follow-up list should be displayed in front of the leadsquared if the client has given an appointment after a while.,neutral,no
95110192,2022-05-02 04:06:01,the follow-up list should be displayed in front of the leadsquared if the client has given an appointment after a while.,neutral,no
95560669,2022-05-10 04:18:46,very long process.,neutral,no
95625641,2022-05-11 02:26:21,the process to integrate it with my email is lengthy and confusing.,confusion,yes
95625641,2022-05-11 02:26:21,please make application better.,caring,no
95626815,2022-05-11 03:07:32,"even after changing the timing, application still stays the same.",neutral,no
95628196,2022-05-11 04:04:20,application could be more informative.,neutral,no
95677103,2022-05-11 21:01:31,leadsquared was working slowly.,neutral,no
95677103,2022-05-11 21:01:31,leadsquared was working slowly.,neutral,no
95687711,2022-05-12 01:29:59,i request that you withdraw this application because application is a waste of time.,annoyance,yes
95687711,2022-05-12 01:29:59,i request that you withdraw this application because application is a waste of time.,annoyance,yes
95754460,2022-05-13 03:47:21,there is a lot of issue on this site.,fear,yes
95754460,2022-05-13 03:47:21,there is a lot of issue on this site.,fear,yes
95754460,2022-05-13 03:47:21,sometimes tasks are not creating correctly and activities are not getting updated.,realization,no
95754460,2022-05-13 03:47:21,sometimes tasks are not creating correctly and activities are not getting updated.,realization,no
95754460,2022-05-13 03:47:21,sometimes tasks are not creating correctly and activities are not getting updated.,realization,no
95033893,2022-04-30 03:44:39,very slow.,neutral,no
95559610,2022-05-10 03:34:19,there is a new method to approach customers.,neutral,no
95754906,2022-05-13 04:04:18,"if the person gets used to it, application would be a lot of fun.",amusement,no
95109863,2022-05-02 03:52:32,application is very necessary for a sales person.,neutral,no
95491864,2022-05-09 04:07:54,every organization should have a good product.,optimism,no
95844158,2022-05-15 03:55:45,lead action work every time.,neutral,no
95844158,2022-05-15 03:55:45,lead action work every time.,neutral,no
95805449,2022-05-14 00:26:15,i am sending leads and they are coming back.,neutral,no
95945577,2022-05-17 03:27:24,the functions help to connect with the leads and are easy to use.,approval,no
95945577,2022-05-17 03:27:24,the functions help to connect with the leads and are easy to use.,approval,no
95945577,2022-05-17 03:27:24,the functions help to connect with the leads and are easy to use.,approval,no
95946969,2022-05-17 04:23:55,good experience working with this application.,admiration,no
95946969,2022-05-17 04:23:55,good experience working with this application.,admiration,no
95946969,2022-05-17 04:23:55,good experience working with this application.,admiration,no
95877611,2022-05-16 03:32:05,we are not getting pop up because a few things are not working.,disappointment,yes
95877611,2022-05-16 03:32:05,we are not getting pop up because a few things are not working.,disappointment,yes
95877611,2022-05-16 03:32:05,some scenarios are missing for proper disposition.,desire,no
95878630,2022-05-16 04:18:25,"if you click the phone number, you can generate a method to call to the lead, but not by selecting it first and then selecting it from a drop-down menu, which is difficult to do.",neutral,no
95878630,2022-05-16 04:18:25,"if you click the phone number, you can generate a method to call to the lead, but not by selecting it first and then selecting it from a drop-down menu, which is difficult to do.",neutral,no
95878630,2022-05-16 04:18:25,"if you click the phone number, you can generate a method to call to the lead, but not by selecting it first and then selecting it from a drop-down menu, which is difficult to do.",neutral,no
95878630,2022-05-16 04:18:25,"if you click the phone number, you can generate a method to call to the lead, but not by selecting it first and then selecting it from a drop-down menu, which is difficult to do.",neutral,no
95945737,2022-05-17 03:34:23,i attach a file while i am creating proposals.,neutral,no
95947017,2022-05-17 04:25:59,good application.,admiration,no
95810120,2022-05-14 03:05:29,the user interface is not good.,disapproval,yes
95810123,2022-05-14 03:05:31,the lead was pulled back.,neutral,no
95810694,2022-05-14 03:33:14,leads are pulled even after a transfer.,neutral,no
95843951,2022-05-15 03:44:08,not meeting sales.,neutral,no
95844660,2022-05-15 04:28:34,there is a lot to be improved.,optimism,no
95876954,2022-05-16 03:00:09,its gets slow.,neutral,no
95946187,2022-05-17 03:52:05,"my internet network is good, but i am always lagging not able to finish the work on time, please fix these issues as soon as possible every time i give feedback, just the same thing every time.",caring,no
95946187,2022-05-17 03:52:05,"my internet network is good, but i am always lagging not able to finish the work on time, please fix these issues as soon as possible every time i give feedback, just the same thing every time.",caring,no
95946839,2022-05-17 04:18:42,application takes too much time to locate a location.,neutral,no
95946839,2022-05-17 04:18:42,application takes too much time to locate a location.,neutral,no
95939934,2022-05-17 00:42:51,i use the search engine.,neutral,no
95939934,2022-05-17 00:42:51,i use the search engine.,neutral,no
95878306,2022-05-16 04:03:26,my career is literally my career.,pride,no
96008769,2022-05-18 03:00:25,multiple files be uploaded at one shot.,neutral,no
96008769,2022-05-18 03:00:25,time is spent.,neutral,no
96010125,2022-05-18 03:53:03,some tab is suddenly cold.,neutral,no
96010704,2022-05-18 04:16:15,every feature is good.,admiration,no
96010765,2022-05-18 04:18:47,there are a lot of bugs.,neutral,no
96013365,2022-05-18 06:10:47,amado gets disconnected a lot.,neutral,no
96036772,2022-05-18 14:54:51,there is no access given for certain options.,disapproval,yes
96069086,2022-05-19 01:26:30,application working every time.,neutral,no
96069086,2022-05-19 01:26:30,application working every time.,neutral,no
96072271,2022-05-19 03:07:08,every task shown times can be repeated.,neutral,no
96072436,2022-05-19 03:13:33,"application is taking too long for sync in smartview, and not possible to select only column or cell wise to copy, for example, to other business co in amazon logistics website.",neutral,no
96072436,2022-05-19 03:13:33,"application is taking too long for sync in smartview, and not possible to select only column or cell wise to copy, for example, to other business co in amazon logistics website.",neutral,no
96072436,2022-05-19 03:13:33,"application is taking too long for sync in smartview, and not possible to select only column or cell wise to copy, for example, to other business co in amazon logistics website.",neutral,no
96072436,2022-05-19 03:13:33,"application is taking too long for sync in smartview, and not possible to select only column or cell wise to copy, for example, to other business co in amazon logistics website.",neutral,no
96072436,2022-05-19 03:13:33,we choose what we want separately.,approval,no
96072493,2022-05-19 03:15:48,follow-up setting will be worked on.,neutral,no
96072493,2022-05-19 03:15:48,follow-up setting will be worked on.,neutral,no
96072621,2022-05-19 03:21:38,"the features are good, but the on issue is slow sometimes.",admiration,no
96072621,2022-05-19 03:21:38,"the features are good, but the on issue is slow sometimes.",admiration,no
96072713,2022-05-19 03:25:17,how to know if a call is inbound or outbound.,confusion,yes
96072906,2022-05-19 03:33:23,a lot of glitches is not user-friendly.,disapproval,yes
96072906,2022-05-19 03:33:23,a lot of glitches is not user-friendly.,disapproval,yes
96073488,2022-05-19 03:58:11,all activities can be easily managed on leadsquared.,neutral,no
96073488,2022-05-19 03:58:11,all activities can be easily managed on leadsquared.,neutral,no
96132180,2022-05-20 03:04:13,mails need to be sent to each lead.,neutral,no
96133351,2022-05-20 03:55:47,not recording correctly.,remorse,no
96133646,2022-05-20 04:08:25,good and bad.,confusion,yes
96133646,2022-05-20 04:08:25,i strongly recommend this application.,approval,no
96134101,2022-05-20 04:27:48,application is good for lead tracking.,approval,no
96134101,2022-05-20 04:27:48,application is good for lead tracking.,approval,no
96134101,2022-05-20 04:27:48,application is easy to work with.,approval,no
96134101,2022-05-20 04:27:48,application is easy to work with.,approval,no
96184724,2022-05-21 01:00:41,the leads are not cloning.,disapproval,yes
96187040,2022-05-21 02:23:13,there is proper leads update and reports.,approval,no
96187040,2022-05-21 02:23:13,there is proper leads update and reports.,approval,no
96188611,2022-05-21 03:35:36,there are many glitch a day.,neutral,no
96189290,2022-05-21 04:12:20,"i like the format, which was maintained well.",admiration,no
96189323,2022-05-21 04:14:10,to make application simpler.,neutral,no
96189325,2022-05-21 04:14:13,application is easy to use and manage.,approval,no
96189325,2022-05-21 04:14:13,application is easy to use and manage.,approval,no
96221401,2022-05-22 03:54:54,use in ios should be improved.,optimism,no
96221401,2022-05-22 03:54:54,use in ios should be improved.,optimism,no
96221693,2022-05-22 04:12:24,the user interface needs to be fixed.,neutral,no
96221693,2022-05-22 04:12:24,we come to copy and paste.,neutral,no
96221864,2022-05-22 04:23:27,"leadsquared users have realized to reduced lead leakage intelligent lead prioritization automated sales and marketing processes detailed sales and marketing analytics application also integrates with multiple business tools and has its own developer platform, where users can build custom business logic",realization,no
96221864,2022-05-22 04:23:27,"leadsquared users have realized to reduced lead leakage intelligent lead prioritization automated sales and marketing processes detailed sales and marketing analytics application also integrates with multiple business tools and has its own developer platform, where users can build custom business logic",realization,no
96221864,2022-05-22 04:23:27,"leadsquared users have realized to reduced lead leakage intelligent lead prioritization automated sales and marketing processes detailed sales and marketing analytics application also integrates with multiple business tools and has its own developer platform, where users can build custom business logic",realization,no
96221864,2022-05-22 04:23:27,"leadsquared users have realized to reduced lead leakage intelligent lead prioritization automated sales and marketing processes detailed sales and marketing analytics application also integrates with multiple business tools and has its own developer platform, where users can build custom business logic",realization,no
96222254,2022-05-22 04:52:56,"sometimes calls get disconnected, and sometimes they land properly.",neutral,no
96250665,2022-05-23 01:15:02,improve the processing because application is very slow.,disappointment,yes
96250665,2022-05-23 01:15:02,improve the processing because application is very slow.,disappointment,yes
96250665,2022-05-23 01:15:02,improve the processing because application is very slow.,disappointment,yes
96251462,2022-05-23 01:41:12,not able to add leads.,disappointment,yes
96253402,2022-05-23 02:59:14,poor working and not speed to update.,neutral,no
96253402,2022-05-23 02:59:14,poor working and not speed to update.,neutral,no
96253402,2022-05-23 02:59:14,poor working and not speed to update.,neutral,no
96254164,2022-05-23 03:33:09,every record is easy to use.,neutral,no
96254164,2022-05-23 03:33:09,every record is easy to use.,neutral,no
96254586,2022-05-23 03:52:45,application looks very complicated.,confusion,yes
96254586,2022-05-23 03:52:45,application looks very complicated.,confusion,yes
96254749,2022-05-23 03:59:38,the poor application was never seen to be very good.,disappointment,yes
96254845,2022-05-23 04:03:15,poor to use a mobile application.,neutral,no
96254845,2022-05-23 04:03:15,poor to use a mobile application.,neutral,no
96254911,2022-05-23 04:06:02,"application is easy to use, but application can take a while to hang.",neutral,no
96254911,2022-05-23 04:06:02,"application is easy to use, but application can take a while to hang.",neutral,no
96254911,2022-05-23 04:06:02,"application is easy to use, but application can take a while to hang.",neutral,no
96254911,2022-05-23 04:06:02,"application is easy to use, but application can take a while to hang.",neutral,no
96254985,2022-05-23 04:09:11,the location is not correct.,disapproval,yes
88486052,2022-01-10 03:46:48,data and work history can be kept in one place.,neutral,no
88486052,2022-01-10 03:46:48,data and work history can be kept in one place.,neutral,no
96319339,2022-05-24 03:09:39,application uses a lot of battery and data.,neutral,no
96319339,2022-05-24 03:09:39,application uses a lot of battery and data.,neutral,no
96319339,2022-05-24 03:09:39,application uses a lot of battery and data.,neutral,no
96319559,2022-05-24 03:18:56,application is not very user-friendly.,disapproval,yes
96319559,2022-05-24 03:18:56,application is not very user-friendly.,disapproval,yes
96320387,2022-05-24 03:54:46,application is easy to use.,approval,no
96320387,2022-05-24 03:54:46,application is easy to use.,approval,no
96320866,2022-05-24 04:14:39,slowly open application.,neutral,no
96320970,2022-05-24 04:18:56,its very time-consuming.,neutral,no
88930125,2022-01-17 03:58:53,the software is beautifully designed.,admiration,no
96324642,2022-05-24 06:49:20,direct call should be added after no.,neutral,no
96379541,2022-05-25 02:59:45,location tracking working,neutral,no
96379541,2022-05-25 02:59:45,location tracking working,neutral,no
96380992,2022-05-25 03:55:54,"application is very easy to use, and application will quickly search my leads.",approval,no
96380992,2022-05-25 03:55:54,"application is very easy to use, and application will quickly search my leads.",approval,no
96380992,2022-05-25 03:55:54,"application is very easy to use, and application will quickly search my leads.",approval,no
96380992,2022-05-25 03:55:54,"application is very easy to use, and application will quickly search my leads.",approval,no
96380992,2022-05-25 03:55:54,"application is very easy to use, and application will quickly search my leads.",approval,no
96381143,2022-05-25 04:02:07,application was good with all the features.,admiration,no
96381143,2022-05-25 04:02:07,application was good with all the features.,admiration,no
96381274,2022-05-25 04:07:33,only the costumers can open it.,neutral,no
96438398,2022-05-26 00:27:21,this is good for the sales person.,approval,no
95032888,2022-04-30 03:09:13,weak data analysis features.,neutral,no
96445513,2022-05-26 03:52:41,application should work quicker than ths.,optimism,no
96445513,2022-05-26 03:52:41,application should work quicker than ths.,optimism,no
96445642,2022-05-26 03:58:02,the application version be accessed.,neutral,no
96445700,2022-05-26 03:59:53,application is good.,admiration,no
96445889,2022-05-26 04:06:51,application is very complicated and auto generation of receipts there.,confusion,yes
96445889,2022-05-26 04:06:51,application is very complicated and auto generation of receipts there.,confusion,yes
